sample_index,environment,path_num,method,lr,step,obstacle,curvature,curvature_max,out_of_bound,endpoint,weighted_obstacle,weighted_curvature,weighted_out_of_bound,weighted_endpoint,feasible,smoothness,jerk,quality,total,cost,dangerous_ratio,unsafe_margin_ratio,min_esdf,path_length,curvature_violation_ratio,control_oob_ratio,control_oob_max
0,env000028,18,P,0.003,0,9.246241569519043,14.658866882324219,86.41881561279297,0.0,1.2092915773391724,9.246241569519043,3.6647167205810547,0.0,1.2092915773391724,14.12024974822998,0.058035608381032944,0.052785083651542664,0.052785083651542664,14.120255470275879,14.120255470275879,0.4399999976158142,0.4699999988079071,-1.6023300886154175,12.17909049987793,0.06122449040412903,0.0,0.0
1,env000053,3,P,0.003,0,9.181839942932129,0.9411516189575195,4.595371723175049,0.0,0.05035746470093727,9.181839942932129,0.23528790473937988,0.0,0.05035746470093727,9.467485427856445,0.0015157792950049043,0.000994084752164781,0.000994084752164781,9.467485427856445,9.467485427856445,0.3100000023841858,0.33000001311302185,-1.449889063835144,18.278919219970703,0.0714285746216774,0.0,0.0
2,env000071,1,P,0.003,0,8.704936981201172,2.102329969406128,9.352014541625977,0.0,0.355448842048645,8.704936981201172,0.525582492351532,0.0,0.355448842048645,9.585968017578125,0.0023359167389571667,0.0013696335954591632,0.0013696335954591632,9.585968017578125,9.585968017578125,0.46000000834465027,0.47999998927116394,-1.420353889465332,16.846967697143555,0.13265305757522583,0.0,0.0
3,env000098,15,P,0.003,0,8.304899215698242,3.0685858726501465,18.438396453857422,0.0,0.48335719108581543,8.304899215698242,0.7671464681625366,0.0,0.48335719108581543,9.555402755737305,0.0030838598031550646,0.001356620341539383,0.001356620341539383,9.555402755737305,9.555402755737305,0.4300000071525574,0.46000000834465027,-1.275104284286499,15.69437313079834,0.09183673560619354,0.0,0.0
4,env000079,19,P,0.003,0,8.09712028503418,1.566014051437378,6.3347344398498535,0.0,0.2999209463596344,8.09712028503418,0.3915035128593445,0.0,0.2999209463596344,8.788544654846191,0.0022381856106221676,0.0011856144992634654,0.0011856144992634654,8.788544654846191,8.788544654846191,0.1899999976158142,0.20000000298023224,-1.3750029802322388,17.062971115112305,0.13265305757522583,0.0,0.0
5,env000064,16,P,0.003,0,7.7443342208862305,3.550551652908325,14.371979713439941,0.0,0.29666227102279663,7.7443342208862305,0.8876379132270813,0.0,0.29666227102279663,8.928634643554688,0.021138809621334076,0.039418090134859085,0.039418090134859085,8.928638458251953,8.928638458251953,0.3499999940395355,0.36000001430511475,-1.517952561378479,20.390674591064453,0.09183673560619354,0.0,0.0
6,env000073,2,P,0.003,0,7.717954635620117,0.45072659850120544,2.4534785747528076,0.0,0.17759716510772705,7.717954635620117,0.11268164962530136,0.0,0.17759716510772705,8.008234024047852,0.0009809519397094846,0.0003211560833733529,0.0003211560833733529,8.008234024047852,8.008234024047852,0.44999998807907104,0.46000000834465027,-1.1630653142929077,13.463128089904785,0.08163265138864517,0.0,0.0
7,env000098,8,P,0.003,0,7.642445087432861,0.48315685987472534,3.610280752182007,0.0,0.024646813049912453,7.642445087432861,0.12078921496868134,0.0,0.024646813049912453,7.787880897521973,0.00018326443387195468,5.838513243361376e-05,5.838513243361376e-05,7.787880897521973,7.787880897521973,0.6499999761581421,0.6800000071525574,-1.0417883396148682,10.432659149169922,0.08163265138864517,0.0,0.0
8,env000075,2,P,0.003,0,7.366703510284424,0.40882357954978943,3.9959163665771484,0.0,0.02749166451394558,7.366703510284424,0.10220589488744736,0.0,0.02749166451394558,7.496400833129883,0.00021959833975415677,0.00011937657836824656,0.00011937657836824656,7.496400833129883,7.496400833129883,0.23999999463558197,0.23999999463558197,-1.2015327215194702,13.131914138793945,0.020408162847161293,0.0,0.0
9,env000096,17,P,0.003,0,7.362326622009277,6.255555152893066,20.397174835205078,0.0,0.17085662484169006,7.362326622009277,1.5638887882232666,0.0,0.17085662484169006,9.097071647644043,0.010512545704841614,0.016807854175567627,0.016807854175567627,9.097073554992676,9.097073554992676,0.5299999713897705,0.5699999928474426,-1.1404790878295898,12.051583290100098,0.1734693944454193,0.0,0.0
10,env000064,13,P,0.003,0,7.218011856079102,0.9054061770439148,4.711853504180908,0.0,0.0399177223443985,7.218011856079102,0.2263515442609787,0.0,0.0399177223443985,7.484281539916992,0.0009170506964437664,0.0005336567992344499,0.0005336567992344499,7.484281539916992,7.484281539916992,0.3499999940395355,0.36000001430511475,-1.1648136377334595,17.778169631958008,0.051020409911870956,0.0,0.0
11,env000065,9,P,0.003,0,7.197836399078369,3.9372096061706543,15.7604398727417,0.0,0.43807774782180786,7.197836399078369,0.9843024015426636,0.0,0.43807774782180786,8.620216369628906,0.0006508479127660394,0.00038926940760575235,0.00038926940760575235,8.620216369628906,8.620216369628906,0.30000001192092896,0.33000001311302185,-1.1581223011016846,9.151106834411621,0.23469388484954834,0.0,0.0
12,env000065,15,P,0.003,0,7.1496710777282715,0.5131604075431824,4.190434455871582,0.0,0.07829213887453079,7.1496710777282715,0.1282901018857956,0.0,0.07829213887453079,7.356253623962402,0.0005930943298153579,0.0005902958801016212,0.0005902958801016212,7.356253623962402,7.356253623962402,0.3499999940395355,0.3700000047683716,-1.3337466716766357,17.014572143554688,0.020408162847161293,0.0,0.0
13,env000040,9,P,0.003,0,7.1184797286987305,1.0825293064117432,5.784343242645264,0.0,0.10042870789766312,7.1184797286987305,0.2706323266029358,0.0,0.10042870789766312,7.4895405769348145,0.0007529035210609436,0.000313765078317374,0.000313765078317374,7.4895405769348145,7.4895405769348145,0.20000000298023224,0.20000000298023224,-1.3597196340560913,14.400760650634766,0.09183673560619354,0.0,0.0
14,env000070,19,P,0.003,0,7.09885311126709,1.2345582246780396,5.92794132232666,0.0,0.11647909879684448,7.09885311126709,0.3086395561695099,0.0,0.11647909879684448,7.5239715576171875,0.0022400764282792807,0.0012173965806141496,0.0012173965806141496,7.5239715576171875,7.5239715576171875,0.25,0.2800000011920929,-1.1937187910079956,19.235876083374023,0.0714285746216774,0.0,0.0
15,env000071,13,P,0.003,0,6.839238166809082,1.8304468393325806,7.129540920257568,0.0,0.40627914667129517,6.839238166809082,0.45761170983314514,0.0,0.40627914667129517,7.703128814697266,0.0025863933842629194,0.0026726783253252506,0.0026726783253252506,7.703129291534424,7.703129291534424,0.18000000715255737,0.2199999988079071,-1.4003098011016846,19.299989700317383,0.0714285746216774,0.0,0.0
16,env000065,10,P,0.003,0,6.756982803344727,1.1255912780761719,3.999455690383911,0.0,0.03324822336435318,6.756982803344727,0.28139781951904297,0.0,0.03324822336435318,7.071629047393799,0.002280673710629344,0.0017824351089075208,0.0017824351089075208,7.071629047393799,7.071629047393799,0.20000000298023224,0.20999999344348907,-1.3281208276748657,19.305688858032227,0.10204081982374191,0.0,0.0
