rank,environment,path_num,dataset_index,initial_total,initial_obstacle,initial_dangerous_ratio
0,env000028,18,58,14.120264053344727,9.24624252319336,0.4399999976158142
1,env000053,3,83,9.467486381530762,9.181839942932129,0.3100000023841858
2,env000071,1,201,9.585968017578125,8.704936981201172,0.46000000834465027
3,env000098,15,375,9.555398941040039,8.304898262023926,0.4300000071525574
4,env000079,19,299,8.788536071777344,8.097121238708496,0.1899999976158142
5,env000064,16,156,8.928644180297852,7.7443342208862305,0.3499999940395355
6,env000073,2,222,8.008230209350586,7.717953681945801,0.44999998807907104
7,env000098,8,368,7.787880897521973,7.642445087432861,0.6499999761581421
8,env000075,2,242,7.496397018432617,7.366703510284424,0.23999999463558197
9,env000096,17,357,9.097087860107422,7.362326622009277,0.5299999713897705
10,env000064,13,153,7.484281539916992,7.218011856079102,0.3499999940395355
11,env000065,9,169,8.620216369628906,7.197836399078369,0.30000001192092896
12,env000065,15,175,7.356253623962402,7.149670600891113,0.3499999940395355
13,env000040,9,69,7.489537715911865,7.1184797286987305,0.20000000298023224
14,env000070,19,199,7.52397346496582,7.09885311126709,0.25
15,env000071,13,213,7.7031331062316895,6.839236736297607,0.18000000715255737
16,env000065,10,170,7.071628093719482,6.756982803344727,0.20000000298023224
17,env000075,7,247,7.0244855880737305,6.667773246765137,0.3499999940395355
18,env000040,2,62,6.724930286407471,6.594912528991699,0.23000000417232513
19,env000075,3,243,6.672563076019287,6.478545665740967,0.38999998569488525
20,env000053,7,87,6.983806133270264,6.367966175079346,0.23999999463558197
21,env000073,19,239,6.364979267120361,6.147645473480225,0.4699999988079071
22,env000079,2,282,6.789317607879639,6.101341724395752,0.23000000417232513
23,env000070,11,191,6.266687870025635,5.864142417907715,0.15000000596046448
24,env000028,13,53,6.207947731018066,5.815141201019287,0.25
25,env000079,12,292,6.091620445251465,5.7524495124816895,0.3199999928474426
26,env000028,14,54,6.223657131195068,5.712491512298584,0.15000000596046448
27,env000028,1,41,6.269633769989014,5.542807102203369,0.23000000417232513
28,env000013,19,19,6.320469379425049,5.5303730964660645,0.4399999976158142
29,env000071,18,218,5.786044120788574,5.4339919090271,0.23999999463558197
30,env000098,1,361,5.704447269439697,5.372555732727051,0.2199999988079071
31,env000098,16,376,5.565361499786377,5.291801452636719,0.5
32,env000096,12,352,5.7118635177612305,5.290597438812256,0.25
33,env000079,8,288,7.90544319152832,5.261393070220947,0.17000000178813934
34,env000099,0,380,5.478332996368408,5.261017799377441,0.33000001311302185
35,env000082,19,319,9.41951847076416,5.241971015930176,0.18000000715255737
36,env000099,14,394,5.648661136627197,5.134139060974121,0.33000001311302185
37,env000062,8,128,5.31779670715332,5.088995933532715,0.14000000059604645
38,env000098,5,365,5.320549488067627,4.924315929412842,0.14000000059604645
39,env000073,13,233,5.519256591796875,4.815986633300781,0.36000001430511475
40,env000082,13,313,5.346995830535889,4.762782096862793,0.17000000178813934
41,env000062,16,136,5.432032585144043,4.7547760009765625,0.20999999344348907
42,env000062,11,131,4.876251697540283,4.752430438995361,0.23000000417232513
43,env000076,19,279,5.276450157165527,4.697958469390869,0.23000000417232513
44,env000093,16,336,4.905327796936035,4.563063144683838,0.14000000059604645
45,env000065,12,172,5.09012508392334,4.499311447143555,0.1599999964237213
46,env000070,14,194,4.621960639953613,4.473478317260742,0.25
47,env000015,19,39,4.608748435974121,4.382914066314697,0.25
48,env000064,8,148,4.928072452545166,4.340590476989746,0.20999999344348907
49,env000070,12,192,4.427921772003174,4.305551052093506,0.20999999344348907
