rank,environment,path_num,dataset_index,initial_total,initial_obstacle,initial_dangerous_ratio
0,env000064,13,53,10.240646362304688,9.617745399475098,0.4699999988079071
1,env000040,9,29,8.49121379852295,7.870293617248535,0.20999999344348907
2,env000040,15,35,8.497745513916016,7.568170070648193,0.17999999225139618
3,env000040,13,33,6.9675116539001465,6.746622085571289,0.17000000178813934
4,env000040,2,22,6.362196922302246,6.3416852951049805,0.2199999988079071
5,env000015,6,6,6.339754104614258,5.427895545959473,0.20999999344348907
6,env000015,2,2,5.566491603851318,5.226643085479736,0.17999999225139618
7,env000040,4,24,5.882246017456055,5.076772689819336,0.4599999785423279
8,env000040,6,26,5.126139163970947,4.6419477462768555,0.2199999988079071
9,env000064,4,44,4.943177223205566,4.470801830291748,0.14000000059604645
10,env000064,11,51,4.514644145965576,4.355467796325684,0.2199999988079071
11,env000064,1,41,9.126173973083496,4.294532775878906,0.1899999976158142
12,env000064,3,43,4.53044319152832,4.277021408081055,0.25999999046325684
13,env000040,8,28,4.566186428070068,4.151726722717285,0.22999998927116394
14,env000064,8,48,4.980905055999756,3.9761862754821777,0.12999999523162842
15,env000040,14,34,4.273245811462402,3.954141855239868,0.12999999523162842
16,env000015,15,15,4.043134689331055,3.7805001735687256,0.17000000178813934
17,env000064,12,52,5.233569622039795,3.591712713241577,0.28999999165534973
18,env000064,16,56,4.171051025390625,3.4225192070007324,0.1899999976158142
19,env000064,5,45,3.788073778152466,3.3206939697265625,0.10999999940395355
20,env000015,16,16,3.5401151180267334,3.2774319648742676,0.19999998807907104
21,env000015,10,10,4.045726776123047,3.0921144485473633,0.14000000059604645
22,env000015,17,17,3.287004232406616,2.5230631828308105,0.11999999731779099
23,env000040,19,39,2.577171802520752,2.438786268234253,0.09999999403953552
24,env000040,16,36,2.771440267562866,2.292630672454834,0.08999999612569809
25,env000040,12,32,2.833710193634033,1.8926124572753906,0.14000000059604645
26,env000015,5,5,2.77779483795166,1.8607242107391357,0.08999999612569809
27,env000015,14,14,2.3887877464294434,1.8456411361694336,0.07999999821186066
28,env000064,18,58,1.8350292444229126,1.649217128753662,0.09999999403953552
29,env000015,19,19,1.8948686122894287,1.549272894859314,0.07000000029802322
30,env000015,4,4,1.794105052947998,1.5158807039260864,0.05999999865889549
31,env000015,18,18,2.2007994651794434,1.5120130777359009,0.07999999821186066
