split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,D_induced_coupling_safe_cost,D_induced_coupling_mode,D_induced_coupling_recovery
train,env000015,2,0,0,2.1828465461730957,0.48258209228515625,-1,-1,True,1.4014497995376587,-1,0.4595736563205719
train,env000015,2,0,1,4.513469696044922,0.44187501072883606,-1,-1,True,0.925096333026886,-1,0.8813189268112183
train,env000015,2,0,2,1.7531722784042358,0.3354816436767578,-1,-1,True,0.8299877047538757,-1,0.6511890292167664
train,env000015,2,0,3,2.413652181625366,0.39462676644325256,-1,-1,True,1.1256319284439087,-1,0.6379415988922119
train,env000015,7,1,0,4.983565807342529,1.248145580291748,1,1,True,2.1526401042938232,1,0.7578600645065308
train,env000015,7,1,1,4.867823600769043,1.3380310535430908,1,1,True,1.7258424758911133,1,0.890131950378418
train,env000015,7,1,2,4.420969009399414,1.323610544204712,1,1,True,2.109673023223877,1,0.7462152242660522
train,env000015,7,1,3,4.2690629959106445,1.2862581014633179,1,1,True,2.0933799743652344,1,0.7294084429740906
train,env000015,8,2,0,3.269007682800293,0.634253203868866,1,1,True,1.0761085748672485,1,0.8322973847389221
train,env000015,8,2,1,3.1170687675476074,0.6427638530731201,1,1,True,1.3567525148391724,1,0.7114387154579163
train,env000015,8,2,2,2.6776440143585205,0.644030749797821,1,1,True,1.054038405418396,1,0.7983846664428711
train,env000015,8,2,3,2.3160479068756104,0.6328626275062561,1,1,True,1.3278981447219849,1,0.5870712995529175
train,env000040,6,3,0,8.258456230163574,2.9726288318634033,1,1,True,7.669425964355469,1,0.11143577098846436
train,env000040,6,3,1,9.048842430114746,2.9458587169647217,1,1,True,8.524983406066895,1,0.08583654463291168
train,env000040,6,3,2,8.028947830200195,2.79110050201416,1,1,True,8.235191345214844,1,-0.03937562555074692
train,env000040,6,3,3,8.941008567810059,2.9740355014801025,-1,-1,True,7.576131820678711,0,0.22873853147029877
train,env000040,1,4,0,5.050752639770508,2.0620768070220947,1,1,True,3.4980363845825195,1,0.5195331573486328
train,env000040,1,4,1,6.319779396057129,2.055922508239746,-1,0,True,3.441420316696167,0,0.675059974193573
train,env000040,1,4,2,4.780625820159912,2.076554775238037,1,1,True,2.9657866954803467,1,0.6711506843566895
train,env000040,1,4,3,4.441793918609619,1.365906000137329,1,1,True,1.9524924755096436,1,0.8092952370643616
train,env000040,7,5,0,7.827924728393555,2.3120667934417725,-1,-1,True,3.3855342864990234,-1,0.8053852319717407
train,env000040,7,5,1,7.188179969787598,1.5965064764022827,1,1,True,3.2135982513427734,1,0.7108036279678345
train,env000040,7,5,2,7.704644203186035,3.475125312805176,-1,0,True,3.9075767993927,1,0.8977539539337158
train,env000040,7,5,3,5.0452117919921875,1.257378101348877,0,1,True,1.3094189167022705,1,0.9862610697746277
train,env000064,4,6,0,9.696022987365723,5.94744873046875,1,1,True,9.506743431091309,1,0.0504937469959259
train,env000064,4,6,1,11.32928466796875,6.352625846862793,1,1,True,9.061925888061523,1,0.4555985927581787
train,env000064,4,6,2,11.299859046936035,6.328854560852051,1,1,True,9.308573722839355,1,0.4005800783634186
train,env000064,4,6,3,9.610685348510742,6.248664379119873,1,1,True,9.378390312194824,1,0.06909386813640594
train,env000064,5,7,0,5.677886486053467,2.851547956466675,-1,-1,True,2.540759563446045,-1,1.1099615097045898
train,env000064,5,7,1,5.203913688659668,2.3266260623931885,-1,-1,True,2.535205125808716,-1,0.9275084137916565
train,env000064,5,7,2,5.928233623504639,3.0371322631835938,-1,-1,True,2.846065044403076,-1,1.066088080406189
train,env000064,5,7,3,5.9879984855651855,2.6260807514190674,-1,-1,True,2.9563474655151367,-1,0.9017624258995056
train,env000064,8,8,0,5.43072509765625,2.153271436691284,-1,-1,True,2.613327741622925,-1,0.8596299886703491
train,env000064,8,8,1,5.4550652503967285,2.128068208694458,-1,-1,True,2.722538471221924,0,0.8213192820549011
train,env000064,8,8,2,5.402295112609863,2.022937536239624,1,1,True,2.216402769088745,1,0.942750871181488
train,env000064,8,8,3,6.670476913452148,2.158482789993286,-1,-1,True,4.702963829040527,-1,0.43606284260749817
heldout,env000068,7,9,0,4.920500755310059,1.3414084911346436,-1,-1,True,5.345178604125977,-1,-0.11865518242120743
heldout,env000068,7,9,1,5.620567798614502,1.5228534936904907,1,0,True,5.574565410614014,-1,0.011226353235542774
heldout,env000068,7,9,2,5.768579006195068,1.734701156616211,-1,-1,True,5.332061290740967,-1,0.1082129254937172
heldout,env000068,7,9,3,5.158771514892578,1.7506014108657837,-1,-1,True,5.050533771514893,-1,0.03175831586122513
heldout,env000068,1,10,0,6.850508689880371,1.8047863245010376,1,1,True,7.320764541625977,1,-0.09319891035556793
heldout,env000068,1,10,1,5.535959243774414,2.347576141357422,1,1,True,6.109888553619385,1,-0.18000638484954834
heldout,env000068,1,10,2,7.593505382537842,3.2173614501953125,1,1,True,7.270216464996338,1,0.073875293135643
heldout,env000068,1,10,3,8.273934364318848,2.7014570236206055,-1,-1,True,8.847089767456055,0,-0.10285468399524689
heldout,env000068,6,11,0,3.2882578372955322,1.0958889722824097,-1,-1,True,4.394797325134277,-1,-0.5047231912612915
heldout,env000068,6,11,1,3.5262393951416016,1.2087353467941284,-1,-1,True,4.797567844390869,1,-0.5485765933990479
heldout,env000068,6,11,2,3.465341091156006,1.1248061656951904,-1,-1,True,3.784788131713867,-1,-0.13648462295532227
heldout,env000068,6,11,3,3.7959773540496826,1.1463180780410767,-1,-1,True,6.049479961395264,1,-0.8504877090454102
heldout,env000085,2,12,0,14.687999725341797,3.121846914291382,1,1,True,9.782709121704102,1,0.4241073727607727
heldout,env000085,2,12,1,9.857107162475586,2.627720832824707,1,1,True,9.794678688049316,1,0.008635376580059528
heldout,env000085,2,12,2,10.194182395935059,5.68684720993042,1,0,True,9.904037475585938,1,0.06437171995639801
heldout,env000085,2,12,3,9.770577430725098,2.9139580726623535,1,1,True,9.318825721740723,1,0.06588548421859741
heldout,env000085,9,13,0,6.18950080871582,2.3592803478240967,1,1,True,5.389829158782959,1,0.20877952873706818
heldout,env000085,9,13,1,6.459994792938232,1.1897183656692505,-1,-1,True,6.916903018951416,0,-0.08669530600309372
heldout,env000085,9,13,2,7.017522811889648,2.284871816635132,1,1,True,5.4867377281188965,1,0.3234519362449646
heldout,env000085,9,13,3,7.099628925323486,2.705920457839966,1,1,True,6.40648078918457,1,0.15775924921035767
heldout,env000085,5,14,0,4.222949028015137,1.0933938026428223,-1,-1,True,2.155545234680176,-1,0.6606062650680542
heldout,env000085,5,14,1,4.143162727355957,0.4799227714538574,-1,-1,True,2.0539190769195557,-1,0.5703267455101013
heldout,env000085,5,14,2,4.11386775970459,1.0877336263656616,-1,-1,True,2.4780454635620117,-1,0.5405650734901428
heldout,env000085,5,14,3,2.565492630004883,0.5518744587898254,-1,-1,True,1.6984061002731323,-1,0.43061119318008423
