split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery,C_random_coupling_safe_cost,C_random_coupling_mode,C_random_coupling_recovery,D_induced_coupling_safe_cost,D_induced_coupling_mode,D_induced_coupling_recovery
train,env000015,2,0,0,2.1828465461730957,2.1828465461730957,-1,-1,False,0.6014289259910583,-1,nan,2.483036518096924,-1,nan,1.8585684299468994,-1,nan
train,env000015,2,0,1,4.513469696044922,4.513469696044922,-1,-1,False,0.5660244226455688,-1,nan,1.4422458410263062,-1,nan,2.6886589527130127,-1,nan
train,env000015,2,0,2,1.7531722784042358,1.7531722784042358,-1,-1,False,0.530210554599762,-1,nan,1.3293685913085938,-1,nan,1.3967080116271973,-1,nan
train,env000015,2,0,3,2.413652181625366,0.27076247334480286,-1,-1,True,1.102868914604187,-1,0.611689567565918,1.6915168762207031,-1,0.3369913399219513,1.0340474843978882,-1,0.643805742263794
train,env000015,7,1,0,4.983565807342529,4.983565807342529,1,1,False,0.8682271838188171,1,nan,1.9259144067764282,1,nan,4.317338466644287,1,nan
train,env000015,7,1,1,4.867823600769043,0.8302450776100159,1,1,True,0.9265280961990356,1,0.9761533141136169,3.741448402404785,1,0.27897295355796814,1.6005442142486572,1,0.8092175126075745
train,env000015,7,1,2,4.420969009399414,4.420969009399414,1,1,False,0.9047108292579651,1,nan,3.7154455184936523,1,nan,3.9042139053344727,1,nan
train,env000015,7,1,3,4.2690629959106445,4.2690629959106445,1,1,False,0.8973679542541504,1,nan,4.101921558380127,1,nan,3.8204469680786133,1,nan
train,env000015,8,2,0,3.269007682800293,0.46119681000709534,1,1,True,0.5457091331481934,1,0.9699010252952576,0.5601887702941895,1,0.9647440910339355,0.5824786424636841,1,0.9568056464195251
train,env000015,8,2,1,3.1170687675476074,0.46085256338119507,1,1,True,0.5522741079330444,1,0.965582013130188,0.6262744665145874,1,0.9377226829528809,0.6019552946090698,1,0.9468782544136047
train,env000015,8,2,2,2.6776440143585205,0.4682949483394623,1,1,True,0.5199275016784668,1,0.976629912853241,0.5351017713546753,1,0.9697617888450623,0.6780508756637573,1,0.905059814453125
train,env000015,8,2,3,2.3160479068756104,0.45402535796165466,1,1,True,0.5443458557128906,1,0.9514933824539185,0.6977748870849609,1,0.8690942525863647,0.6577392220497131,1,0.8905954360961914
train,env000040,6,3,0,8.258456230163574,8.258456230163574,1,1,False,0.5983819961547852,1,nan,7.885416030883789,1,nan,7.837325096130371,1,nan
train,env000040,6,3,1,9.048842430114746,9.048842430114746,1,1,False,0.31765690445899963,1,nan,7.999592304229736,1,nan,8.376069068908691,1,nan
train,env000040,6,3,2,8.028947830200195,8.028947830200195,1,1,False,0.29183322191238403,1,nan,8.052477836608887,0,nan,7.821419715881348,1,nan
train,env000040,6,3,3,8.941008567810059,8.941008567810059,-1,-1,False,0.5236054062843323,1,nan,7.892492294311523,1,nan,8.363263130187988,-1,nan
train,env000040,1,4,0,5.050752639770508,5.050752639770508,1,1,False,1.1421579122543335,1,nan,5.52754020690918,0,nan,4.869591236114502,1,nan
train,env000040,1,4,1,6.319779396057129,6.319779396057129,-1,-1,False,1.1862837076187134,1,nan,4.694730281829834,1,nan,5.638397693634033,0,nan
train,env000040,1,4,2,4.780625820159912,4.780625820159912,1,1,False,1.1084803342819214,1,nan,4.276514053344727,1,nan,4.640950679779053,1,nan
train,env000040,1,4,3,4.441793918609619,4.441793918609619,1,1,False,1.1189244985580444,1,nan,4.741320610046387,1,nan,4.318615436553955,1,nan
train,env000040,7,5,0,7.827924728393555,7.827924728393555,-1,-1,False,1.1000635623931885,1,nan,5.350419521331787,1,nan,6.349941730499268,-1,nan
train,env000040,7,5,1,7.188179969787598,7.188179969787598,1,1,False,1.2967159748077393,1,nan,6.938913822174072,0,nan,5.408530235290527,1,nan
train,env000040,7,5,2,7.704644203186035,7.704644203186035,-1,-1,False,1.1697587966918945,1,nan,4.406138896942139,1,nan,6.781497955322266,0,nan
train,env000040,7,5,3,5.0452117919921875,5.0452117919921875,0,0,False,1.0642155408859253,1,nan,6.650887489318848,-1,nan,4.376039505004883,1,nan
train,env000064,4,6,0,9.696022987365723,9.696022987365723,1,1,False,7.160882949829102,1,nan,10.201594352722168,1,nan,10.28792953491211,1,nan
train,env000064,4,6,1,11.32928466796875,11.32928466796875,1,1,False,7.151273250579834,1,nan,10.556502342224121,1,nan,10.08165168762207,1,nan
train,env000064,4,6,2,11.299859046936035,11.299859046936035,1,1,False,7.015069007873535,1,nan,9.89928150177002,-1,nan,10.762022972106934,1,nan
train,env000064,4,6,3,9.610685348510742,5.979821681976318,1,1,True,7.323115825653076,1,0.6300345659255981,9.995559692382812,1,-0.10600076615810394,8.815905570983887,-1,0.21889550983905792
train,env000064,5,7,0,5.677886486053467,5.677886486053467,-1,-1,False,1.1070390939712524,-1,nan,4.920174598693848,-1,nan,5.2786149978637695,-1,nan
