split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery,C_random_coupling_safe_cost,C_random_coupling_mode,C_random_coupling_recovery,D_induced_coupling_safe_cost,D_induced_coupling_mode,D_induced_coupling_recovery
train,env000015,2,0,0,2.1828465461730957,0.4101322591304779,-1,-1,True,0.9481558799743652,-1,0.6964972615242004,0.7229844927787781,-1,0.823517918586731,1.0049548149108887,-1,0.6644566059112549
train,env000015,2,0,1,4.513469696044922,0.28321707248687744,-1,-1,True,0.820682942867279,-1,0.8729470372200012,0.6983233094215393,-1,0.9018719792366028,0.5296459794044495,-1,0.9417460560798645
train,env000015,2,0,2,1.7531722784042358,0.2755299210548401,-1,-1,True,0.6852143406867981,-1,0.7227445244789124,1.0348247289657593,-1,0.48614442348480225,0.8310907483100891,-1,0.6240221261978149
train,env000015,2,0,3,2.413652181625366,0.28859931230545044,-1,-1,True,0.7360730767250061,-1,0.7894293665885925,0.6659848690032959,-1,0.8224111795425415,1.057995080947876,-1,0.6379404067993164
train,env000015,7,1,0,4.983565807342529,1.0278342962265015,1,1,True,0.956025242805481,1,1.018153190612793,1.2695841789245605,1,0.9388862252235413,1.4300329685211182,1,0.8983250856399536
train,env000015,7,1,1,4.867823600769043,1.0410445928573608,1,1,True,0.9703658819198608,1,1.0184694528579712,1.2728890180587769,1,0.9394152760505676,1.326491355895996,1,0.925408124923706
train,env000015,7,1,2,4.420969009399414,1.0312180519104004,1,1,True,0.9685096740722656,1,1.0184993743896484,1.2537418603897095,1,0.9343539476394653,1.578184962272644,1,0.8386409282684326
train,env000015,7,1,3,4.2690629959106445,1.03147292137146,1,1,True,0.9532611966133118,1,1.0241574048995972,1.3208061456680298,1,0.9106332063674927,1.5948584079742432,1,0.8259861469268799
train,env000015,8,2,0,3.269007682800293,0.6086490154266357,1,1,True,0.5268694162368774,1,1.0307401418685913,0.7532329559326172,1,0.9456524848937988,0.7856175303459167,1,0.9334794282913208
train,env000015,8,2,1,3.1170687675476074,0.6172788143157959,1,1,True,0.5318101048469543,1,1.0341904163360596,0.9319556355476379,1,0.8741187453269958,0.7239513993263245,1,0.9573274254798889
train,env000015,8,2,2,2.6776440143585205,0.6583886742591858,1,1,True,0.5276592373847961,1,1.0647413730621338,0.8797551989555359,1,0.8903721570968628,0.8035839200019836,1,0.9280946850776672
