split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery,D_induced_coupling_safe_cost,D_induced_coupling_mode,D_induced_coupling_recovery
train,env000015,2,0,0,2.1828465461730957,0.47469714283943176,-1,-1,True,1.2417094707489014,-1,0.5509688258171082,1.5102561712265015,-1,0.3937538266181946
train,env000015,2,0,1,4.513469696044922,0.40149566531181335,-1,-1,True,1.2072480916976929,-1,0.8040472269058228,1.491966724395752,-1,0.7348058819770813
train,env000015,2,0,2,1.7531722784042358,0.32803958654403687,-1,-1,True,1.2152817249298096,-1,0.3774318993091583,1.2196463346481323,-1,0.3743692934513092
train,env000015,2,0,3,2.413652181625366,0.3692777752876282,-1,-1,True,1.2392148971557617,-1,0.5744726657867432,1.1706446409225464,-1,0.6080136299133301
train,env000040,1,1,0,5.325412273406982,1.9064332246780396,0,0,True,1.6231757402420044,1,1.0828485488891602,4.292402267456055,0,0.30213990807533264
train,env000040,1,1,1,6.748709201812744,1.9016772508621216,-1,-1,True,1.735586166381836,1,1.034266471862793,4.923225402832031,0,0.376618891954422
train,env000040,1,1,2,5.282790184020996,1.8562391996383667,0,0,True,1.5762196779251099,1,1.0817205905914307,5.173633575439453,-1,0.03185611963272095
train,env000040,1,1,3,5.023143291473389,2.0492241382598877,1,1,True,1.6635925769805908,1,1.1296712160110474,3.8637137413024902,1,0.3898658752441406
train,env000064,4,2,0,10.770914077758789,5.532351493835449,1,1,True,2.6793670654296875,1,1.5446120500564575,8.615093231201172,1,0.4115290939807892
train,env000064,4,2,1,10.769615173339844,6.102657794952393,1,1,True,2.839461326599121,1,1.6992127895355225,9.81505298614502,1,0.2045363038778305
train,env000064,4,2,2,9.780291557312012,6.098932266235352,1,1,True,8.70531940460205,1,0.29200413823127747,9.28933334350586,1,0.1333632916212082
train,env000064,4,2,3,10.26014232635498,5.673794746398926,1,1,True,2.715830087661743,1,1.644950032234192,9.125635147094727,1,0.24736616015434265
heldout,env000017,2,3,0,3.9936180114746094,0.6403917670249939,-1,-1,True,3.9209790229797363,-1,0.02166241779923439,3.8431613445281982,-1,0.04486922547221184
heldout,env000017,2,3,1,3.5008859634399414,0.5774564743041992,-1,-1,True,2.980577230453491,-1,0.17797888815402985,3.8262994289398193,-1,-0.11131223291158676
heldout,env000017,2,3,2,3.9422409534454346,0.5818840861320496,-1,-1,True,3.806981086730957,-1,0.04025163874030113,4.0355987548828125,-1,-0.02778211049735546
heldout,env000017,2,3,3,3.859360933303833,0.6705362796783447,-1,-1,True,3.2899749279022217,-1,0.17855669558048248,3.7076494693756104,-1,0.04757598042488098
heldout,env000077,4,4,0,1.4189060926437378,0.16054460406303406,-1,-1,True,1.338322401046753,-1,0.06403858959674835,1.320831537246704,-1,0.07793830335140228
heldout,env000077,4,4,1,1.4444358348846436,0.15158037841320038,-1,-1,True,1.4251978397369385,-1,0.014880236238241196,1.4027949571609497,-1,0.03220845386385918
heldout,env000077,4,4,2,1.2286889553070068,0.14929133653640747,-1,-1,True,1.2803088426589966,-1,-0.04782286286354065,1.270113468170166,-1,-0.03837743401527405
heldout,env000077,4,4,3,1.2945200204849243,0.15301871299743652,-1,-1,True,1.4590516090393066,-1,-0.14413613080978394,1.2598779201507568,-1,0.03034784086048603
heldout,env000090,2,5,0,5.149046421051025,2.1720223426818848,-1,-1,True,5.1269001960754395,-1,0.007439048029482365,4.837942123413086,-1,0.10450177639722824
heldout,env000090,2,5,1,8.034490585327148,2.310746192932129,-1,-1,True,5.0639543533325195,-1,0.5189847946166992,5.175240516662598,-1,0.49954187870025635
heldout,env000090,2,5,2,5.867455959320068,2.2610886096954346,-1,-1,True,5.4151692390441895,-1,0.12541337311267853,5.831877708435059,-1,0.00986539851874113
heldout,env000090,2,5,3,5.286503791809082,1.7134907245635986,-1,-1,True,4.629322528839111,-1,0.18392914533615112,4.96309757232666,-1,0.09051358699798584
heldout,env000088,1,6,0,3.9615554809570312,1.5382628440856934,-1,-1,True,3.811164617538452,-1,0.06206054612994194,3.9736053943634033,-1,-0.004972537513822317
heldout,env000088,1,6,1,4.45635986328125,1.331164002418518,-1,-1,True,5.7815961837768555,-1,-0.4240490198135376,6.526296615600586,-1,-0.6623381972312927
heldout,env000088,1,6,2,5.9413557052612305,2.328549861907959,-1,-1,True,6.181596755981445,-1,-0.0664970800280571,6.2911152839660645,-1,-0.09681106358766556
heldout,env000088,1,6,3,7.188139915466309,2.000805139541626,1,1,True,6.811180591583252,1,0.07266917079687119,6.420395851135254,1,0.14800356328487396
heldout,env000069,2,7,0,5.869070053100586,0.7288697361946106,-1,-1,True,7.157843112945557,-1,-0.25072428584098816,8.44601821899414,-1,-0.5013322830200195
heldout,env000069,2,7,1,6.5525946617126465,0.5504209995269775,-1,-1,True,7.1049652099609375,-1,-0.0920284241437912,9.922895431518555,-1,-0.561513364315033
